Shortcode,Domainstr,Description,Location
MT,10Y1001A1001A93C,Malta/MaltaBZ/CA/MBA,Europe/Malta
ME,10YCS-CG-TSO---S,Montenegro/CGESBZ/CA/MBA,Europe/Podgorica
GB,10YGB----------A,NationalGridBZ/CA/MBA,Europe/London
GB_IFA,10Y1001C--00098F,GB(IFA)BZN,Europe/London
GB_IFA2,17Y0000009369493,GB(IFA2)BZ,Europe/London
GB_ELECLINK,11Y0-0000-0265-K,GB(ElecLink)BZN,Europe/London
UK,10Y1001A1001A92E,UnitedKingdom,Europe/London
NL,10YNL----------L,Netherlands/TenneTNLBZ/CA/MBA,Europe/Amsterdam
NO_1,10YNO-1--------2,NO1BZ/MBA,Europe/Oslo
NO_2,10YNO-2--------T,NO2BZ/MBA,Europe/Oslo
NO_2_NSL,50Y0JVU59B4JWQCU,NO2NSLBZ/MBA,Europe/Oslo
NO_3,10YNO-3--------J,NO3BZ/MBA,Europe/Oslo
NO_4,10YNO-4--------9,NO4BZ/MBA,Europe/Oslo
NO_5,10Y1001A1001A48H,NO5BZ/MBA,Europe/Oslo
NO,10YNO-0--------C,Norway/NorwayMBA/StattnetCA,Europe/Oslo
PL_CZ,10YDOM-1001A082L,PL-CZBZA/CA,Europe/Warsaw
PL,10YPL-AREA-----S,Poland/PSESABZ/BZA/CA/MBA,Europe/Warsaw
PT,10YPT-REN------W,Portugal/RENBZ/CA/MBA,Europe/Lisbon
MD,10Y1001A1001A990,RepublicofMoldova/MoldelecticaBZ/CA/MBA,Europe/Chisinau
RO,10YRO-TEL------P,Romania/TranselectricaBZ/CA/MBA,Europe/Bucharest
RU,10Y1001A1001A49F,RussiaBZ/CA/MBA,Europe/Moscow
SE_1,10Y1001A1001A44P,SE1BZ/MBA,Europe/Stockholm
SE_2,10Y1001A1001A45N,SE2BZ/MBA,Europe/Stockholm
SE_3,10Y1001A1001A46L,SE3BZ/MBA,Europe/Stockholm
SE_4,10Y1001A1001A47J,SE4BZ/MBA,Europe/Stockholm
RS,10YCS-SERBIATSOV,Serbia/EMSBZ/CA/MBA,Europe/Belgrade
SK,10YSK-SEPS-----K,Slovakia/SEPSBZ/CA/MBA,Europe/Bratislava
SI,10YSI-ELES-----O,Slovenia/ELESBZ/CA/MBA,Europe/Ljubljana
GB_NIR,10Y1001A1001A016,NorthernIreland/SONICA,Europe/Belfast
ES,10YES-REE------0,Spain/REEBZ/CA/MBA,Europe/Madrid
SE,10YSE-1--------K,Sweden/SwedenMBA/SvKCA,Europe/Stockholm
CH,10YCH-SWISSGRIDZ,Switzerland/SwissgridBZ/CA/MBA,Europe/Zurich
DE_TENNET,10YDE-EON------1,TenneTGERCA,Europe/Berlin
DE_TRANSNET,10YDE-ENBW-----N,TransnetBWCA,Europe/Berlin
TR,10YTR-TEIAS----W,TurkeyBZ/CA/MBA,Europe/Istanbul
UA,10Y1001C--00003F,Ukraine/UkraineBZ/MBA,Europe/Kiev
UA_DOBTPP,10Y1001A1001A869,Ukraine-DobTPPCTA,Europe/Kiev
UA_BEI,10YUA-WEPS-----0,UkraineBEICTA,Europe/Kiev
UA_IPS,10Y1001C--000182,UkraineIPSCTA,Europe/Kiev
XK,10Y1001C--00100H,Kosovo/XKCA/XKBZN,Europe/Rome
